Age,Poss,MP,Min,Gls,Ast,MPCategory,Squad_Argentina,Squad_Australia,Squad_Belgium,Squad_Brazil,Squad_Cameroon,Squad_Canada,Squad_Costa Rica,Squad_Croatia,Squad_Denmark,Squad_Ecuador,Squad_England,Squad_France,Squad_Germany,Squad_Ghana,Squad_Iran,Squad_Japan,Squad_Korea Republic,Squad_Mexico,Squad_Morocco,Squad_Netherlands,Squad_Poland,Squad_Portugal,Squad_Qatar,Squad_Saudi Arabia,Squad_Senegal,Squad_Serbia,Squad_Spain,Squad_Switzerland,Squad_Tunisia,Squad_United States,Squad_Uruguay,Squad_Wales,Prediction,# Pl
24.5,53.0,4,360,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,20
28.0,35.8,4,390,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22
26.9,44.8,4,360,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,20
28.2,54.0,3,270,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
26.6,60.0,3,270,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20
24.9,53.3,3,270,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18
27.6,48.7,3,270,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,19
26.5,51.3,3,270,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,22
27.3,59.3,3,270,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20
27.5,57.4,7,690,15,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
